Tanggal,Beras,Beras Kualitas Bawah I (kg),Beras Kualitas Bawah II (kg),Beras Kualitas Medium I (kg),Beras Kualitas Medium II (kg),Beras Kualitas Super I (kg),Beras Kualitas Super II (kg),Bawang Merah,Bawang Merah Ukuran Sedang (kg),Bawang Putih,Bawang Putih Ukuran Sedang (kg),Cabai Merah,Cabai Merah Besar (kg),Cabai Merah Keriting  (kg),Cabai Rawit,Cabai Rawit Hijau (kg),Cabai Rawit Merah (kg)
28/05/2021,11750,10700,10400,11800,11550,13050,12650,32850,32850,30400,30400,35350,38250,34350,47450,40350,54350
31/05/2021,11700,10700,10350,11750,11550,13000,12600,32550,32550,31000,31000,34000,36600,32950,46750,40400,52750
02/06/2021,11750,10700,10350,11750,11550,13050,12650,32350,32350,30300,30300,33850,36350,32850,45850,39850,51700
03/06/2021,11750,10700,10350,11750,11600,13050,12650,32200,32200,30300,30300,33600,36100,32600,45250,39500,50800
04/06/2021,11750,10700,10350,11750,11550,13050,12650,32250,32250,30250,30250,33900,37050,32450,44900,39250,50400
07/06/2021,11750,10700,10350,11750,11550,13050,12650,31900,31900,30150,30150,33850,36800,32500,45450,39800,50900
08/06/2021,11750,10700,10350,11750,11550,13050,12650,31850,31850,30050,30050,33550,36050,32600,45250,39900,50250
09/06/2021,11750,10700,10350,11750,11550,13050,12650,31750,31750,30100,30100,33700,36100,32850,45250,39950,49950
10/06/2021,11700,10700,10350,11750,11550,13050,12650,31800,31800,30050,30050,33700,36050,32850,45200,39950,49850
11/06/2021,11700,10700,10350,11750,11550,13050,12650,31400,31400,30050,30050,33800,36100,32950,45850,40400,50700
14/06/2021,11750,10700,10350,11750,11550,13050,12650,31200,31200,30000,30000,33200,35650,32400,46000,40850,50550
15/06/2021,11750,10700,10350,11750,11550,13050,12650,30950,30950,29950,29950,32650,35050,31850,46250,41100,50750
16/06/2021,11750,10700,10350,11750,11550,13050,12650,30950,30950,29950,29950,32500,34850,31700,46600,41900,50750
17/06/2021,11750,10700,10350,11750,11550,13050,12650,30950,30950,30000,30000,32500,34800,31700,46950,42150,51450
18/06/2021,11750,10700,10350,11750,11550,13050,12650,31000,31000,29950,29950,32400,34850,31600,47650,42350,52750
21/06/2021,11750,10700,10350,11750,11550,13050,12650,30900,30900,29800,29800,32800,35150,32150,50150,43900,56400
22/06/2021,11750,10700,10350,11750,11550,13050,12650,31000,31000,29750,29750,32700,34700,32400,50700,44250,57300
23/06/2021,11750,10700,10350,11750,11550,13050,12650,31050,31050,29750,29750,32850,34600,32750,51150,44650,57650
24/06/2021,11750,10700,10350,11750,11550,13050,12650,31200,31200,29650,29650,32900,34500,32900,51950,45050,58800
25/06/2021,11750,10700,10350,11750,11550,13050,12650,31250,31250,29700,29700,33600,34950,33700,53600,45500,61600
28/06/2021,11750,10700,10350,11750,11550,13050,12650,31600,31600,29800,29800,34050,35050,34300,54900,45850,63550
29/06/2021,11750,10700,10350,11750,11550,13050,12650,31550,31550,29750,29750,34100,35050,34500,55900,46300,65350
30/06/2021,11700,10700,10350,11750,11550,13050,12650,31700,31700,29750,29750,34400,35300,34750,56400,46350,66500
01/07/2021,11750,10700,10350,11750,11600,13050,12650,31750,31750,29800,29800,34850,35700,35150,56700,46550,66600
02/07/2021,11700,10700,10350,11750,11550,13050,12650,31750,31750,29750,29750,35250,35750,35650,56700,46800,66650
,,,,,,,,,,,,,,,,,
